count,detect_count,time,response,tag_velK,anzenK,uv_velK,bbox_lefttop_x,bbox_lefttop_y,bbox_rightbottom_x,bbox_rightbottom_y,pure_bbox_lefttop_x,pure_bbox_lefttop_y,pure_bbox_rightbottom_x,pure_bbox_rightbottom_y,episode,reward
27,25,2.2220230102539062,0.037439584732055664,1.0,9.994647299245267,5.505453381028233,727.0534427265824,134.68968785609292,1058.940004162579,367.4154055892811,925.4193647691013,239.42235262054686,949.7076635674889,262.68274082482714,4,8.823434666085383
28,26,2.327143669128418,0.10500788688659668,1.0,9.994647299245267,5.505453381028233,745.8927580446975,131.96753881906892,1059.3494488196773,370.1713824195908,924.2708016851916,239.20814492871594,948.8425125292054,262.9307763099438,4,9.554876860512639
29,27,2.411900520324707,0.08486509323120117,1.0,9.994647299245267,5.505453381028233,631.3306312707555,128.0373552267085,1051.7776436232223,373.93152115069836,920.08868632384,238.96461226906044,944.0437898783528,263.00426410834643,4,10.335554872081541
30,28,2.4833483695983887,0.07144689559936523,1.0,9.994647299245267,5.505453381028233,588.8834157615379,128.24971447809884,1049.1442336862892,373.60820847421763,915.4180962258964,238.8391910608271,939.7437764993459,263.0187318914894,4,10.892569666915518
31,29,2.5259175300598145,0.04254651069641113,1.0,9.994647299245267,5.505453381028233,655.1328663187293,130.17652041529436,1045.5719438404149,371.6960964075721,914.0232297772759,238.878261620432,937.9528221475866,262.99435520243446,4,11.413413997740017
32,30,2.5889999866485596,0.06236124038696289,1.0,9.994647299245267,5.505453381028233,708.0395975433177,125.00223552746662,1043.8055210620155,376.69332257509393,913.1012511937383,238.55618792913145,936.877233507832,263.1393701734291,4,12.02539317518354
33,31,2.7222349643707275,0.13395285606384277,1.0,9.994647299245267,5.505453381028233,739.5309837519089,129.16504603514755,1042.6226403924643,372.5397485007938,912.1046598766163,238.69261173175457,935.8467549094978,263.01218280418675,4,12.717020455806216
34,32,2.769554615020752,0.04734611511230469,1.0,9.994647299245267,5.505453381028233,568.5027888675246,126.27262398761432,1041.3499865280132,375.2321493415061,905.9737011211746,238.63160974746143,930.5995543608929,262.873163581659,4,13.499774887084714
35,33,2.8131344318389893,0.04356193542480469,1.0,9.994647299245267,5.505453381028233,640.2223221007341,119.7485934534368,1035.4744532539023,381.66292488417537,904.5823072701816,237.76916279900766,928.39246550831,263.64235553860453,4,14.006884886051251
36,34,2.878805637359619,0.06566929817199707,1.0,9.994647299245267,5.505453381028233,687.314664910791,113.82485572368859,1033.8622823869898,387.67089381069394,903.2722686039403,237.2053264046258,927.0274669706971,264.29042312975673,4,14.601969637994227
37,35,2.9350740909576416,0.056223154067993164,1.0,9.994647299245267,5.505453381028233,686.4587154507168,114.9754220222454,1031.9583564620002,386.37688345647564,900.9626292453042,237.36181930659413,924.791629603631,263.9904861721269,4,15.279953993598093
38,36,3.011559009552002,0.07646536827087402,1.0,9.994647299245267,3.505453381028233,733.0086016332544,113.0906270365067,1030.4946273845903,388.0605247508293,899.1283317508395,237.05813598856724,923.0247409867717,264.09301579876876,4,15.956652886473066
39,37,3.1110775470733643,0.09959769248962402,1.0,9.994647299245267,3.505453381028233,662.1554150747511,121.85644586489019,1030.8954793712583,378.9848987367927,894.1293419576589,237.89755366307304,919.0080185884203,262.9437909386098,4,16.74643149840238
40,38,3.1698782444000244,0.05878877639770508,1.0,9.994647299245267,3.505453381028233,738.0797217823124,126.19605074083225,1030.5635223368565,374.6462530526534,894.1166856654074,237.99303408984548,918.9372793520854,262.8492697036401,4,17.403634142459666
41,39,3.214534282684326,0.044653892517089844,1.0,9.994647299245267,3.505453381028233,687.202125366955,114.59100549422891,1023.2150631151807,386.2379173768711,890.9653138525331,236.84076750916702,915.0224292220686,263.98815536193297,4,18.252631522681494
42,40,3.3133184909820557,0.09880661964416504,1.0,9.994647299245267,3.505453381028233,741.8703299079828,123.04832187878755,1064.625403203078,377.51840388863974,890.8864291969255,237.83914100790048,915.6093039141351,262.7275847595268,4,18.96813348089248
43,41,3.3558576107025146,0.042525291442871094,1.0,9.994647299245267,3.505453381028233,687.9699793621244,124.17193917880974,1024.717093727225,376.3680241465559,886.7924160547715,237.682961082695,911.881838920009,262.85700224267066,4,19.717314735442393
44,42,3.4540867805480957,0.09815168380737305,1.0,9.894647299245268,3.505453381028233,754.8855709359693,125.80295701781307,1043.9246232239425,374.67536553799425,886.8689681745617,237.73133443720582,911.9412259853501,262.7469881186015,4,20.461020907888294
45,43,3.509295701980591,0.05529356002807617,1.0,9.894647299245268,3.505453381028233,607.3377548969485,121.33521245953602,1018.3264809846228,378.81963672731274,879.5493844778839,237.42851524380634,905.0255825951654,262.7263339430424,4,21.3329316441204
46,44,3.583724021911621,0.07436704635620117,1.0,9.894647299245268,3.505453381028233,640.9480848585196,115.84667387114615,1013.5101909238106,384.32064434012585,877.0812231031838,236.53199861495034,902.1263602376513,263.63531959632166,4,21.94195902981474
47,45,3.7055602073669434,0.12189412117004395,1.0,9.894647299245268,3.505453381028233,677.6305267865821,120.53499092815161,1016.3168658543607,379.4850269267722,875.0256661736273,237.09316645736072,900.9633942707123,262.9268513975631,4,22.620607784998835
48,46,3.7573201656341553,0.0517580509185791,1.0,9.894647299245268,3.505453381028233,626.74544426055,118.36148434694417,1011.763113212958,381.36865984125507,870.3807044404956,236.90737095383918,896.3351763731954,262.82277323436006,4,23.38462762525012
49,47,3.86511492729187,0.10780191421508789,1.0,9.894647299245268,3.505453381028233,665.7931181855848,120.01231182539306,1011.0949313478139,379.62557302883397,868.5078929443821,236.80639863177538,894.6835064336428,262.83148622245164,4,24.04886283710693
50,48,3.9142069816589355,0.049073219299316406,1.0,9.894647299245268,3.505453381028233,578.4351039093635,107.04653877084644,1000.8143870104332,392.31690868392093,862.221564095474,235.60841191882196,887.6639339323682,263.7550355359454,4,24.8087748981764
51,49,3.9700376987457275,0.055830955505371094,1.0,9.894647299245268,3.505453381028233,673.8939857151497,109.16436709932074,998.9081524951034,390.2306039454926,861.912061197045,235.53408642002768,887.0613088110636,263.8608846247856,4,25.403100711030866
52,50,4.009502649307251,0.039479970932006836,1.0,9.894647299245268,3.505453381028233,660.9614027197146,107.48132236010417,999.5144537555915,391.77979444393435,858.9047890312042,235.43260454646872,884.7174034026907,263.8285122575698,4,26.182951498606542
53,51,4.050079822540283,0.0405421257019043,1.0,9.894647299245268,3.505453381028233,679.7137614816648,108.58070574455408,996.8000305036371,390.68881888491273,857.1697440342487,235.3897780472662,882.8025676831724,263.8797465822006,4,26.94448057781229
